company_name,rating,reviews,company_type,headquarters,years_old,emp_count
Sanofi,4.4,1.1k,Public,Paris +73 more,20 years old,1k-5k Employees
Adani Ports and SEZ,3.9,1.1k,Public,Ahmedabad +69 more,26 years old,1k-5k Employees
Compass Group Support Services,4.1,1.1k,Public,Chertsey +66 more,83 years old,10k-50k Employees
Bharat Forge,3.9,1.1k,Public,Pune +18 more,63 years old,1k-5k Employees
Spicejet,3.5,1.1k,Public,Gurgaon/Gurugram +58 more,20 years old,5k-10k Employees
Canara Bank,3.5,1.1k,Public,Bangalore/Bengaluru +167 more,118 years old,50k-1 Lakh Employees
AB InBev India,3.5,1.1k,Public,Leuven +65 more,36 years old,1k-5k Employees
NSE.IT,3.6,1.1k,Public,Mumbai +138 more,25 years old,1k-5k Employees
Sharekhan,4,1.1k,Public,Mumbai +109 more,24 years old,1k-5k Employees
Steel Strips Wheels,3.9,1k,Public,Chandigarh +36 more,33 years old,1k-5k Employees
Edelweiss,3.8,1k,Public,Mumbai +108 more,7 years old,1k-5k Employees
Lumax Industries,4,1k,Public,Pune +32 more,79 years old,1k-5k Employees
IFB,3.8,1k,Public,Kolkata +138 more,50 years old,201-500 Employees
Unichem Laboratories,3.9,1k,Public,Mumbai +66 more,80 years old,1k-5k Employees
Indoco Remedies,3.7,1k,Public,Mumbai +69 more,77 years old,5k-10k Employees
Newgen Software Technologies,3.6,1k,Public,New Delhi +23 more,32 years old,1k-5k Employees
ECIL,4.1,992,Public,Hyderabad/Secunderabad +41 more,57 years old,1k-5k Employees
Devyani International,3.9,1k,Public,Gurgaon/Gurugram +95 more,33 years old,10k-50k Employees
FDC,4.1,986,Public,Mumbai +99 more,84 years old,5k-10k Employees
Paytm Payments Bank,4,1k,Public,Noida +110 more,8 years old,1k-5k Employees
Tietoevry,4.3,987,Public,Helsinki +9 more,56 years old,1k-5k Employees
Health Care Global Enterprises,4.2,990,Public,Bangalore/Bengaluru +41 more,35 years old,5k-10k Employees
Sheenlac Paints,4.6,1k,Public,Chennai +148 more,62 years old,501-1k Employees
DISH TV,3.6,963,Public,Noida +138 more,21 years old,201-500 Employees
SKF,4,973,Public,Gothenburg +64 more,101 years old,1k-5k Employees
Oil And Natural Gas Corporation,4.3,978,Public,Delhi/NCR +65 more,68 years old,10k-50k Employees
DENSO,4.2,963,Public,Kariya +35 more,77 years old,1k-5k Employees
Sansera Engineering,4.2,961,Public,Bangalore/Bengaluru +23 more,38 years old,1k-5k Employees
SAI Life Sciences,3.9,968,Public,Hyderabad +16 more,25 years old,1k-5k Employees
Shriram Pistons & Rings,4.1,948,Public,Delhi/NCR +53 more,61 years old,1k-5k Employees
Dixon Technologies,4.2,952,Public,Noida +34 more,31 years old,1k-5k Employees
Atul,4,937,Public,Valsad +54 more,77 years old,1k-5k Employees
The Jaypee Group,3.9,936,Public,Noida +94 more,45 years old,10k-50k Employees
Tata AutoComp Systems,3.9,950,Public,Pune +32 more,26 years old,1k-5k Employees
CreditAccess Grameen,4.3,934,Public,Bangalore/Bengaluru +255 more,25 years old,10k-50k Employees
Patanjali Foods,4,930,Public,Mumbai +152 more,38 years old,5k-10k Employees
Videocon d2h,3.9,909,Public,Mumbai +131 more,15 years old,501-1k Employees
Eaton Corporation,4,930,Public,Cleveland +19 more,113 years old,5k-10k Employees
Consolidated Contractors,4.5,899,Public,Marousi +51 more,72 years old,1k-5k Employees
Godrej Properties,3.7,929,Public,Mumbai +27 more,34 years old,1k-5k Employees
Mahindra CIE Automotive,3.9,909,Public,Mumbai +37 more,25 years old,1k-5k Employees
PNB Housing Finance,3.9,913,Public,Delhi/NCR +114 more,36 years old,1k-5k Employees
Godrej Consumer Products,4.2,902,Public,Mumbai +110 more,23 years old,1k-5k Employees
Capri Global Capital,3.7,902,Public,Mumbai +216 more,27 years old,1k-5k Employees
Adobe,4.2,913,Public,San Jose +14 more,27 years old,5k-10k Employees
Spencer's Retail,3.9,894,Public,Kolkata +57 more,161 years old,1k-5k Employees
Punj Lloyd,4.3,872,Public,Gurgaon/Gurugram +70 more,42 years old,5k-10k Employees
Sonata Software,3.7,895,Public,Bangalore/Bengaluru +12 more,38 years old,1k-5k Employees
R Systems International,3.4,892,Public,El Dorado Hills +15 more,31 years old,1k-5k Employees
Hatsun Agro Product,4,889,Public,Chennai +102 more,54 years old,5k-10k Employees
Thyrocare Technologies,3.5,873,Public,Mumbai +62 more,28 years old,1k-5k Employees
Airtel Payments Bank,4.2,869,Public,Delhi/NCR +229 more,8 years old,501-1k Employees
Strides Pharma,3.9,853,Public,Bangalore/Bengaluru +30 more,34 years old,201-500 Employees
JK Lakshmi Cement,3.9,863,Public,Delhi/NCR +115 more,42 years old,1k-5k Employees
Kirloskar Oil Engines,4.2,860,Public,Pune +87 more,78 years old,1k-5k Employees
PNC Infratech,4,851,Public,Delhi/NCR +75 more,25 years old,5k-10k Employees
Kendriya Vidyalaya Sangathan,4.4,839,Public,Delhi/NCR +208 more,61 years old,10k-50k Employees
Ion Exchange India,3.9,843,Public,Mumbai +88 more,60 years old,1k-5k Employees
Onward Technologies Inc,3.2,844,Public,Mumbai +61 more,33 years old,1k-5k Employees
BGR Energy Systems,3.9,844,Public,Chennai +49 more,39 years old,1k-5k Employees
Jubilant Pharmova,4,836,Public,Noida +53 more,46 years old,1k-5k Employees
DCM Shriram,4.3,834,Public,Delhi/NCR +76 more,34 years old,5k-10k Employees
Intel,4.3,845,Public,Santa Clara +33 more,56 years old,10k-50k Employees
The Ramco Cements,4.3,826,Public,Chennai +90 more,63 years old,1k-5k Employees
Lemon Tree Hotels,4.2,816,Public,Delhi/NCR +64 more,22 years old,5k-10k Employees
1point1 Solutions,3.4,817,Public,Navi Mumbai +14 more,16 years old,5k-10k Employees
V2 Retail,3.6,804,Public,Delhi/NCR +88 more,23 years old,1k-5k Employees
Capacit'e Infraprojects,3.6,801,Public,Mumbai +32 more,12 years old,1k-5k Employees
Nykaa,3.5,807,Public,Mumbai +81 more,12 years old,1k-5k Employees
Kotak Mahindra Prime,4,804,Public,Mumbai +123 more,28 years old,5k-10k Employees
Hindustan Zinc,4,801,Public,Udaipur +28 more,58 years old,1k-5k Employees
Happiest Minds Technologies,3.9,807,Public,Bangalore +14 more,13 years old,1k-5k Employees
ZF Steering Gear,3.8,806,Public,Pune +22 more,109 years old,501-1k Employees
CenturyPly,4,789,Public,Kolkata +102 more,38 years old,1k-5k Employees
Intex Technologies,3.7,783,Public,Delhi/NCR +71 more,28 years old,1k-5k Employees
Karur Vysya Bank,3.8,797,Public,Karur +139 more,108 years old,5k-10k Employees
Tube Investments of India,4,786,Public,Chennai +55 more,75 years old,1k-5k Employees
Imperial Auto Industries,3.8,792,Public,Faridabad +34 more,55 years old,1k-5k Employees
Secure Meters,4.1,781,Public,Udaipur +69 more,37 years old,1k-5k Employees
Spandana Sphoorty Financial,3.8,775,Public,Hyderabad/Secunderabad +228 more,26 years old,10k-50k Employees
Kirloskar Brothers,4,783,Public,Pune +57 more,136 years old,1k-5k Employees
Colgate Palmolive,4.2,790,Public,New York +100 more,87 years old,1k-5k Employees
Diageo,4.1,787,Public,London +84 more,27 years old,1k-5k Employees
Sundaram Finance,4.2,780,Public,Chennai +208 more,70 years old,1k-5k Employees
H.G. Infra Engineering,4.4,791,Public,Jaipur +77 more,21 years old,1k-5k Employees
Ahluwalia Contracts India,4.1,782,Public,Delhi/NCR +49 more,59 years old,1k-5k Employees
Pricol,4,773,Public,Coimbatore +26 more,49 years old,1k-5k Employees
Nilkamal,3.9,776,Public,Mumbai +95 more,43 years old,1k-5k Employees
Tata Chemicals,4.2,764,Public,Mumbai +79 more,85 years old,1k-5k Employees
Sundaram Clayton,4.1,772,Public,Chennai +24 more,62 years old,1k-5k Employees
Shalby Hospitals,4.6,785,Public,Ahmedabad +24 more,30 years old,1k-5k Employees
VIP Industries,4,768,Public,Mumbai +86 more,53 years old,1k-5k Employees
JTEKT,4.2,771,Public,Osaka +22 more,18 years old,1k-5k Employees
AstraZeneca,4.2,754,Public,Cambridge +41 more,25 years old,501-1k Employees
MakeMyTrip,3.7,761,Public,Gurgaon +38 more,24 years old,5k-10k Employees
Birla Corporation,4.2,747,Public,Kolkata +111 more,105 years old,5k-10k Employees
HFCL,4.2,740,Public,Delhi/NCR +93 more,37 years old,1k-5k Employees
Uber,4.2,745,Public,San Francisco +44 more,15 years old,1k-5k Employees
Thomas Cook,3.9,726,Public,Mumbai +75 more,143 years old,1k-5k Employees
Wheels,4.1,728,Public,Chennai +35 more,62 years old,1k-5k Employees
Amara Raja Group,4.2,716,Public,Bangalore/Bengaluru +56 more,39 years old,5k-10k Employees
Schaeffler India,4.2,716,Public,Mumbai +19 more,78 years old,1k-5k Employees
GVPR Engineers,4,711,Public,Hyderabad/Secunderabad +67 more,27 years old,501-1k Employees
Federal Bank,3.9,716,Public,Aluva +116 more,93 years old,10k-50k Employees
Test Yantra Software Solutions,3.4,723,Public,Bangalore/Bengaluru +15 more,17 years old,1k-5k Employees
Aarvi Encon,4.1,715,Public,Mumbai +91 more,37 years old,5k-10k Employees
Alok Industries,3.8,705,Public,Mumbai +28 more,38 years old,10k-50k Employees
Everest Industries,4.1,701,Public,Noida +71 more,90 years old,1k-5k Employees
Centum Electronics,3.9,706,Public,Bangalore/Bengaluru +12 more,30 years old,1k-5k Employees
Napino Auto & Electronics,4.1,704,Public,Gurgaon/Gurugram +15 more,27 years old,5k-10k Employees
DLF,4,705,Public,Gurgaon/Gurugram +28 more,78 years old,501-1k Employees
Lakshmi Machine Works,4,709,Public,Coimbatore +22 more,62 years old,1k-5k Employees
Zydus Wellness,3.9,704,Public,Ahmedabad +97 more,36 years old,501-1k Employees
HT Media,3.4,692,Public,Delhi/NCR +39 more,100 years old,1k-5k Employees
Sandhar Technologies,3.8,680,Public,Gurgaon/Gurugram +28 more,37 years old,1k-5k Employees
Star Cement,4.1,696,Public,Kolkata +62 more,23 years old,1k-5k Employees
Greaves Cotton,4.1,691,Public,Mumbai +38 more,165 years old,501-1k Employees
Vedanta Resources,3.9,694,Public,London +60 more,48 years old,1k-5k Employees
KEI Industries,4.2,690,Public,Delhi/NCR +75 more,56 years old,1k-5k Employees
Natco Pharma,4.1,687,Public,Hyderabad/Secunderabad +48 more,43 years old,1k-5k Employees
Timken,3.9,690,Public,Bangalore/Bengaluru +35 more,26 years old,1k-5k Employees
Panacea Biotec,3.9,681,Public,Delhi/NCR +52 more,40 years old,1k-5k Employees
Godfrey Phillips India,4.1,678,Public,Delhi/NCR +86 more,91 years old,501-1k Employees
United Breweries,3.9,680,Public,Bangalore/Bengaluru +91 more,167 years old,1k-5k Employees
Atlas Copco,4.3,684,Public,Nacka Municipality +48 more,151 years old,1k-5k Employees
Page Industries,4.3,680,Public,Bangalore/Bengaluru +76 more,30 years old,10k-50k Employees
Tata Consumer Products,3.9,685,Public,Mumbai +141 more,62 years old,1k-5k Employees
Piramal Pharma,4,696,Public,Lexington +51 more,36 years old,1k-5k Employees
T-SYSTEMS ICT INDIA,3.9,683,Public,Frankfurt +8 more,8 years old,1k-5k Employees
Future Supply Chain Solutions,4.4,657,Public,Mumbai +62 more,18 years old,1k-5k Employees
Salesforce,4.1,682,Public,San Francisco +26 more,25 years old,5k-10k Employees
AtkinsRealis,4.2,655,Public,Montreal +52 more,113 years old,1k-5k Employees
City Union Bank,3.4,671,Public,Thanjavur +121 more,120 years old,5k-10k Employees
CNH,4.2,667,Public,London +55 more,11 years old,1k-5k Employees
NBC Bearings,3.9,662,Public,Jaipur +26 more,78 years old,1k-5k Employees
J B Chemicals And Pharmaceuticals,3.9,661,Public,Mumbai +70 more,48 years old,1k-5k Employees
Bayer,4.2,660,Public,Monheim Am Rhein +98 more,161 years old,10k-50k Employees
GAMMON INDIA,3.9,633,Public,Mumbai +72 more,102 years old,11-50 Employees
Shilpa Medicare,3.6,633,Public,Raichur +28 more,37 years old,1k-5k Employees
Jabil Circuit India,4,644,Public,St Petersburg +12 more,58 years old,1k-5k Employees
Merino Industries,3.9,633,Public,Delhi/NCR +57 more,56 years old,1k-5k Employees
ESL Steel,4.1,626,Public,Jharkhand +19 more,18 years old,5k-10k Employees
Adani Enterprises,3.9,635,Public,Ahmedabad +54 more,36 years old,Public
Mastek,3.7,642,Public,Mumbai +18 more,42 years old,1k-5k Employees
Eveready Industries,4,614,Public,Kolkata +77 more,90 years old,1k-5k Employees
Reliance Power,4.2,613,Public,Navi Mumbai +29 more,29 years old,1k-5k Employees
Rungta Mines,4.2,627,Public,Singhbum +23 more,62 years old,1k-5k Employees
GlaxoSmithKline Consumer Healthcare,4.5,612,Public,London +95 more,24 years old,1k-5k Employees
Prism Johnson,4,615,Public,Mumbai +105 more,32 years old,1k-5k Employees
Jaya Hind Industries,3.7,602,Public,Pune +20 more,77 years old,1k-5k Employees
Deepak Fertilisers and Petrochemicals,3.9,607,Public,Pune +47 more,45 years old,1k-5k Employees
McDermott International,4.2,600,Public,Houston +29 more,101 years old,1k-5k Employees
Carnival Cruise Lines,4.5,597,Public,Miami +26 more,52 years old,1k-5k Employees
Transsion,4.2,590,Public,Shenzhen +58 more,18 years old,501-1k Employees
Union Bank of India,4.1,599,Public,Mumbai +120 more,105 years old,50k-1 Lakh Employees
TCNS Clothing Company,4,594,Public,Delhi/NCR +97 more,23 years old,501-1k Employees
L&T Power,3.9,597,Public,Mumbai +87 more,18 years old,1k-5k Employees
Amazon Web Services,4,612,Public,Seattle +45 more,18 years old,10k-50k Employees
Times Internet,3.6,595,Public,Gurgaon +24 more,25 years old,10k-50k Employees
Nippon Life India Asset Management,4.7,584,Public,Mumbai +159 more,29 years old,1k-5k Employees
Rallis India,4.3,589,Public,Mumbai +91 more,76 years old,1k-5k Employees
Engineers India,4.3,587,Public,Delhi/NCR +59 more,59 years old,Public
Eris Lifesciences,3.9,593,Public,Ahmedabad +75 more,17 years old,1k-5k Employees
Rico Auto Industries,3.8,589,Public,Gurgaon/Gurugram +25 more,41 years old,1k-5k Employees
Finolex Cables,3.9,579,Public,Pune +64 more,68 years old,1k-5k Employees
Balkrishna Industries,4.1,583,Public,Mumbai +20 more,37 years old,1k-5k Employees
Crowne Plaza,4.2,570,Public,Atlanta +28 more,41 years old,501-1k Employees
EMERSON PROCESS MANAGEMENT,4.1,581,Public,St. Louis +28 more,134 years old,1k-5k Employees
India Cements,3.8,577,Public,Chennai +80 more,78 years old,1k-5k Employees
Naukri,4,585,Public,Noida +59 more,28 years old,1k-5k Employees
Skipper,3.8,574,Public,Kolkata +62 more,43 years old,1k-5k Employees
Hindustan Sanitaryware & Industries,4.1,565,Public,Gurgaon/Gurugram +56 more,64 years old,1k-5k Employees
DP World,4.1,589,Public,Dubai +56 more,19 years old,1k-5k Employees
Sharda Motor Industries,3.8,569,Public,Delhi/NCR +25 more,38 years old,1k-5k Employees
Religare,3.9,572,Public,New Delhi +93 more,40 years old,1k-5k Employees
Redington,4,563,Public,Dubai +45 more,25 years old,1k-5k Employees
Rane (Madras),4,567,Public,Vallancherry +29 more,27 years old,1k-5k Employees
VA Tech Wabag,4,560,Public,Chennai +42 more,100 years old,501-1k Employees
Ramco Systems,3.4,565,Public,Chennai +22 more,27 years old,1k-5k Employees
HIL,4.2,563,Public,Hyderabad/Secunderabad +81 more,78 years old,1k-5k Employees
Magna International,4,568,Public,Aurora +19 more,67 years old,501-1k Employees
Icon Plc,4.1,570,Public,Dublin +14 more,34 years old,1k-5k Employees
Bharti Infratel,4.4,544,Public,Gurgaon/Gurugram +68 more,18 years old,1k-5k Employees
Ivrcl Infrastructures & Projects,4.3,542,Public,Hyderabad/Secunderabad +53 more,37 years old,1k-5k Employees
Somany Ceramics,4.3,555,Public,Noida +65 more,56 years old,1k-5k Employees
JK Paper,4.1,552,Public,Delhi/NCR +41 more,62 years old,1k-5k Employees
Linde India,4.1,549,Public,Pullach +44 more,145 years old,201-500 Employees
Csc E Governance Services,3.9,551,Public,Delhi +173 more,15 years old,1k-5k Employees
Jain Irrigation Systems,4,548,Public,Jalgaon +83 more,61 years old,5k-10k Employees
Orient Electric,4,546,Public,Delhi/NCR +53 more,70 years old,501-1k Employees
Sintex Industries,4.1,537,Public,Kalol +54 more,93 years old,5k-10k Employees
Baroda Global Shared Services,4,553,Public,Mumbai +85 more,7 years old,10k-50k Employees
Parag Milk Foods,4.4,615,Public,Mumbai +68 more,32 years old,1k-5k Employees
Royal Caribbean International,4.4,534,Public,Miami +18 more,55 years old,501-1k Employees
Omaxe,4.1,531,Public,Delhi/NCR +22 more,35 years old,201-500 Employees
Greenlam Industries,4.3,549,Public,Delhi/NCR +85 more,11 years old,1k-5k Employees
United Spirits,4,528,Public,Bangalore/Bengaluru +93 more,27 years old,1k-5k Employees
Deepak Nitrite,3.9,539,Public,Vadodara/Baroda +14 more,54 years old,1k-5k Employees
Cigniti Technologies,3.8,535,Public,Irving +6 more,26 years old,1k-5k Employees
Sl Lumax,3.5,531,Public,Sriperumbudur +13 more,27 years old,1k-5k Employees
MPS Limited,3.9,531,Public,Noida +21 more,54 years old,1k-5k Employees
EPL Limited,4,523,Public,Mumbai +32 more,40 years old,1k-5k Employees
Maveric Systems,3.7,537,Public,Chennai +9 more,24 years old,1k-5k Employees
Gayatri Projects,4,514,Public,Hyderabad/Secunderabad +67 more,61 years old,1k-5k Employees
Welspun World,3.8,523,Public,Mumbai +47 more,39 years old,1k-5k Employees
Steel Authority Of India,4.1,527,Public,Delhi/NCR +32 more,70 years old,10k-50k Employees
MAS Financial Services,3.7,524,Public,Ahmedabad +100 more,29 years old,1k-5k Employees
Electrotherm,4.2,517,Public,Ahmedabad +32 more,41 years old,1k-5k Employees
Ramky Infrastructure,4.2,518,Public,Hyderabad +41 more,30 years old,501-1k Employees
NRB Bearings,4.2,518,Public,Mumbai +18 more,59 years old,1k-5k Employees
Apollo Munich Health Insurance,4,508,Public,Gurgaon +109 more,17 years old,1k-5k Employees
Poly Medicure,3.7,518,Public,Delhi/NCR +28 more,27 years old,1k-5k Employees
Shivam Autotech,3.8,509,Public,Gurgaon/Gurugram +18 more,26 years old,501-1k Employees
Apar Industries,4.1,521,Public,Vadodara/Baroda +52 more,66 years old,1k-5k Employees
Freshworks,3.7,526,Public,San Mateo +37 more,14 years old,1k-5k Employees
Action Construction Equipment,3.8,518,Public,Delhi/NCR +44 more,29 years old,1k-5k Employees
Sona Comstar,4.3,517,Public,Gurgaon +13 more,29 years old,1k-5k Employees
Rane Engine Valve Limited,4,508,Public,Chennai +14 more,65 years old,1k-5k Employees
Future Lifestyle Fashion,4.1,503,Public,Mumbai +59 more,12 years old,1k-5k Employees
Greenply,4,510,Public,Gurgaon/Gurugram +74 more,40 years old,1k-5k Employees
Ebix Software India,3.3,507,Public,Atlanta +30 more,48 years old,1k-5k Employees
Indostar Capital Finance,4.5,510,Public,Mumbai +203 more,13 years old,1k-5k Employees
Courtyard by Marriott,4.2,500,Public,Bethesda +35 more,97 years old,1k-5k Employees
Dhanuka Agritech,3.9,501,Public,Gurgaon/Gurugram +82 more,42 years old,1k-5k Employees
Sadbhav Engineering,4.4,498,Public,Ahmedabad +63 more,36 years old,1k-5k Employees
Vakrangee,3.7,497,Public,Mumbai +87 more,34 years old,1k-5k Employees
Geojit Financial Services,3.7,493,Public,Kochi +125 more,37 years old,Public
Adidas,4,503,Public,Gurgaon / Gurugram +57 more,75 years old,5k-10k Employees
Ongc Petro Additions,4,498,Public,Vadodara/Baroda +26 more,18 years old,1k-5k Employees
Orient Cement,4.3,495,Public,Hyderabad/Secunderabad +60 more,45 years old,1k-5k Employees
Neuland Laboratories,4.1,494,Public,Hyderabad/Secunderabad +6 more,40 years old,1k-5k Employees
Goodyear,4,498,Public,Akron +52 more,126 years old,501-1k Employees
Venus Remedies,4.4,490,Public,Panchkula +33 more,35 years old,1k-5k Employees
Triveni Engineering & Industries,4.1,484,Public,Mysore/Mysuru +48 more,92 years old,1k-5k Employees
Adani Solar,4,483,Public,Ahmedabad +29 more,9 years old,1k-5k Employees
V-Trans,4.1,492,Public,Mumbai +70 more,66 years old,1k-5k Employees
Jai Balaji Group,3.6,488,Public,Kolkata +30 more,25 years old,1k-5k Employees
Patel Engineering,4.3,494,Public,Mumbai +56 more,75 years old,1k-5k Employees
Genesys International Corporation,3.8,491,Public,Mumbai +14 more,29 years old,1k-5k Employees
3M,4.2,486,Public,Saint Paul +43 more,37 years old,1k-5k Employees
Clarivate,3.9,497,Public,Philadelphia +11 more,8 years old,1k-5k Employees
Allied Digital Services,3.5,487,Public,Mumbai +47 more,29 years old,1k-5k Employees
TTK Prestige,4,478,Public,Bangalore/Bengaluru +70 more,69 years old,1k-5k Employees
HBL Power Systems,4,475,Public,Hyderabad/Secunderabad +43 more,47 years old,1k-5k Employees
TVS Electronics,3.9,485,Public,Chennai +57 more,38 years old,501-1k Employees
Surya Roshni,4.1,478,Public,Delhi/NCR +57 more,51 years old,1k-5k Employees
Zee Entertainment Enterprises,3.6,516,Public,Mumbai +29 more,32 years old,1k-5k Employees
TCI Express,3.9,486,Public,Gurugram  +71 more,28 years old,1k-5k Employees
Veritas,4.1,480,Public,Santa Clara +38 more,35 years old,1k-5k Employees
Inox Wind,3.7,473,Public,Noida +37 more,15 years old,501-1k Employees
Lohia Group,3.7,475,Public,Kanpur +18 more,48 years old,1k-5k Employees
Vadilal Industries,4.2,464,Public,Ahmedabad +76 more,117 years old,501-1k Employees
Educomp Solutions,3.5,466,Public,Gurgaon/Gurugram +112 more,30 years old,11-50 Employees
McNally Bharat Engineering,4.2,465,Public,Kolkata +51 more,63 years old,51-200 Employees
JM Financial,3.8,470,Public,Mumbai +59 more,40 years old,1k-5k Employees
RR kabel,4.2,473,Public,Mumbai +89 more,29 years old,1k-5k Employees
Emami Agrotech,3.9,468,Public,Kolkata +51 more,22 years old,1k-5k Employees
Medley Pharmaceuticals,4.1,464,Public,Mumbai +63 more,55 years old,1k-5k Employees
Genus Power Infrastructures,4,466,Public,Jaipur +46 more,32 years old,1k-5k Employees
Reliance Smart,4.2,473,Public,Mumbai +187 more,18 years old,5k-10k Employees
JK Tech,3.8,460,Public,Noida +18 more,30 years old,501-1k Employees
Carborundum Universal,4,459,Public,Chennai +33 more,70 years old,1k-5k Employees
Nomura Holdings,3.8,468,Public,Mumbai +10 more,15 years old,1k-5k Employees
Levi Strauss & Co.,4.5,460,Public,San Francisco +70 more,171 years old,1k-5k Employees
Coal India,4.1,457,Public,Kolkata +49 more,49 years old,1 Lakh+ Employees
Fiem Industries,3.8,460,Public,New Delhi +23 more,35 years old,501-1k Employees
Shriram Housing Finance,4,465,Public,Mumbai +119 more,14 years old,501-1k Employees
Eicher Motors,4.2,456,Public,Gurgaon +82 more,42 years old,5k-10k Employees
Satya MicroCapital,3.8,460,Public,Delhi +120 more,8 years old,1k-5k Employees
NecLife,3.8,454,Public,Chandigarh +18 more,29 years old,1k-5k Employees
Hi Tech Gears,3.9,448,Public,Gurgaon/Gurugram +26 more,38 years old,501-1k Employees
Lear Corporation,4.1,454,Public,Southfield +16 more,107 years old,1k-5k Employees
Electronica Finance,4.2,526,Public,Pune +103 more,34 years old,1k-5k Employees
VRL Logistics,4,453,Public,Hubballi +89 more,41 years old,10k-50k Employees
IL&FS Engineering and Construction,4.4,444,Public,Hyderabad/Secunderabad +49 more,36 years old,1k-5k Employees
Stock Holding Corporation of India,3.6,443,Public,Mumbai +94 more,38 years old,201-500 Employees
Praj Industries,4.3,449,Public,Pune +21 more,41 years old,1k-5k Employees
Amber Enterprises India,3.9,448,Public,Mumbai +29 more,34 years old,1k-5k Employees
Ziqitza Health Care,4,445,Public,Mumbai +52 more,19 years old,5k-10k Employees
Sintex-bapl,3.8,444,Public,Pune +54 more,17 years old,501-1k Employees
Go First,3.7,448,Public,Mumbai +34 more,19 years old,1k-5k Employees
Pennar Industries,3.8,444,Public,Hyderabad/Secunderabad +23 more,36 years old,1k-5k Employees
Vasudha Pharma Chem,3.7,439,Public,Hyderabad/Secunderabad +7 more,29 years old,1k-5k Employees
Godrej Industries,4.2,444,Public,Mumbai +56 more,61 years old,1k-5k Employees
PTC,4.2,437,Public,Boston +37 more,39 years old,1k-5k Employees
LIC Housing Finance,4.1,435,Public,Mumbai +108 more,35 years old,1k-5k Employees
PCBL Limited,3.9,450,Public,Kolkata +17 more,64 years old,1k-5k Employees
Corteva Agriscience,4.3,444,Public,Wilmington +80 more,5 years old,1k-5k Employees
EaseMyTrip.com,3.9,436,Public,Delhi +7 more,16 years old,201-500 Employees
Nucleus Software Exports,3.7,439,Public,Noida +12 more,38 years old,1k-5k Employees
Paras Dairy,3.6,431,Public,Delhi/NCR +49 more,37 years old,501-1k Employees
Transport Corporation Of India,4.1,426,Public,Gurgaon +71 more,66 years old,1k-5k Employees
Prince Pipes & Fittings,4.3,438,Public,Mumbai +56 more,37 years old,1k-5k Employees
Bharat Gears,4.2,430,Public,Mumbai +20 more,52 years old,1k-5k Employees
Gartner,4.2,444,Public,Stamford +11 more,45 years old,1k-5k Employees
Kajaria Ceramics,4.2,427,Public,Delhi/NCR +67 more,39 years old,1k-5k Employees
SMC Global Securities,3.5,429,Public,SMC Global Securities Ltd. +60 more,30 years old,Public
Jayaswal Neco Industries,4.1,425,Public,Nagpur +23 more,52 years old,1k-5k Employees
Boeing,4,429,Public,Arlington +9 more,108 years old,1k-5k Employees
Sudarshan Chemical Industries,3.8,426,Public,Pune +22 more,72 years old,1k-5k Employees
Vizag Steel,4.2,429,Public,Visakhapatnam/Vizag +20 more,53 years old,10k-50k Employees
IRB Infrastructure,4.2,422,Public,Mumbai +48 more,26 years old,5k-10k Employees
Philips Innovation Campus,3.9,421,Public,Amsterdam +16 more,26 years old,1k-5k Employees
Williams Lea,4.1,421,Public,New York +14 more,204 years old,1k-5k Employees
Schoolnet India,3.8,413,Public,Noida +91 more,27 years old,51-200 Employees
Kirloskar Pneumatic,4.2,418,Public,Pune +13 more,66 years old,501-1k Employees
Maersk Line,4.3,412,Public,Copenhagen +25 more,120 years old,1k-5k Employees
Monte Carlo,4.2,413,Public,San Francisco +80 more,40 years old,201-500 Employees
Five-Star Business Finance,4.4,418,Public,Chennai +158 more,40 years old,5k-10k Employees
Sayaji Hotels,4.4,412,Public,Indore +27 more,37 years old,1k-5k Employees
Ge T & D India,4.3,405,Public,Henderson +37 more,67 years old,201-500 Employees
Radico Khaitan,4,410,Public,Delhi/NCR +56 more,81 years old,1k-5k Employees
Ess Kay Fincorp,4.1,402,Public,Jaipur +109 more,30 years old,5k-10k Employees
CRYSTAL CROP PROTECTION,4,409,Public,Delhi/NCR +70 more,44 years old,1k-5k Employees
Vindhya Telelinks,4.1,405,Public,Delhi/NCR +60 more,41 years old,501-1k Employees
Hindusthan National Glass,3.8,404,Public,Kolkata +19 more,78 years old,501-1k Employees
Roop Polymers,4.1,404,Public,Gurgaon/Gurugram +19 more,51 years old,1k-5k Employees
CMC,4.2,398,Public,Bhopal +53 more,56 years old,10k-50k Employees
Solara Active Pharma Sciences,3.7,411,Public,Chennai +15 more,6 years old,1k-5k Employees
Jindal Poly Films,3.6,408,Public,Delhi/NCR +12 more,50 years old,1k-5k Employees
TSYS|Total System Services,4.4,407,Public,Columbus +7 more,40 years old,1k-5k Employees
Sterling Holiday Resort,3.9,406,Public,Chennai +58 more,38 years old,1k-5k Employees
Castrol,4.2,402,Public,Pangbourne +93 more,125 years old,501-1k Employees
IDBI Intech Limited,3.7,403,Public,Navi Mumbai +24 more,24 years old,1k-5k Employees
N.C.L. Industries,3.9,399,Public,Hyderabad/Secunderabad +61 more,44 years old,501-1k Employees
Glenmark Life Sciences,3.8,404,Public,Mumbai +16 more,47 years old,201-500 Employees
TVS Eurogrip,3.8,400,Public,Madurai +55 more,42 years old,1k-5k Employees
