company_name,rating,reviews,company_type,headquarters,years_old,emp_count
Mphasis,3.5,7.3k,Public,Bangalore/Bengaluru +53 more,26 years old,10k-50k Employees
Startek,3.3,6.9k,Public,Mumbai +73 more,7 years old,10k-50k Employees
Hinduja Global Solutions,4,6.8k,Public,Bangalore/Bengaluru +104 more,24 years old,10k-50k Employees
Samsung,4.1,6.8k,Public,Seoul +505 more,55 years old,50k-1 Lakh Employees
Maruti Suzuki,4.3,6.8k,Public,New Delhi +385 more,43 years old,10k-50k Employees
Shriram Finance,4.2,6.6k,Public,Mumbai +969 more,45 years old,50k-1 Lakh Employees
Asian Paints,4.1,6.6k,Public,Mumbai +447 more,82 years old,5k-10k Employees
Yes Bank,3.9,6.6k,Public,Mumbai +446 more,20 years old,10k-50k Employees
Cipla,4.1,6.3k,Public,Mumbai +238 more,89 years old,10k-50k Employees
Dr. Reddy's,4.2,6.2k,Public,Hyderabad/Secunderabad +166 more,40 years old,10k-50k Employees
Paytm,3.5,6.3k,Public,Noida +329 more,14 years old,10k-50k Employees
Bandhan Bank,3.8,6.2k,Public,Kolkata +780 more,23 years old,50k-1 Lakh Employees
UltraTech Cement,4.2,6.1k,Public,Mumbai +440 more,41 years old,10k-50k Employees
ICICI Prudential Life Insurance,4.1,5.8k,Public,Mumbai +453 more,24 years old,10k-50k Employees
Jana Small Finance Bank,3.9,5.7k,Public,Bangalore/Bengaluru +357 more,18 years old,10k-50k Employees
Lupin,4.1,5.6k,Public,Mumbai +169 more,56 years old,1k-5k Employees
Indian Army,4.7,5.4k,Public,New Delhi +337 more,129 years old,1 Lakh+ Employees
Quess,4,5.7k,Public,Bangalore +540 more,17 years old,1k-5k Employees
Tata Steel,4.2,5.5k,Public,Mumbai +173 more,117 years old,1 Lakh+ Employees
L&T Infotech,3.8,5.4k,Public,Mumbai +86 more,28 years old,10k-50k Employees
Wells Fargo,4,5.4k,Public,San Francisco +20 more,172 years old,10k-50k Employees
Zydus Lifesciences,4.2,5.4k,Public,Ahmedabad +155 more,72 years old,10k-50k Employees
L&T Construction,4.1,5.2k,Public,Chennai +361 more,80 years old,5k-10k Employees
JPMorgan Chase & Co.,4.1,5.2k,Public,New York +34 more,56 years old,50k-1 Lakh Employees
Sun Pharmaceutical Industries,4.1,5.1k,Public,Mumbai +210 more,41 years old,10k-50k Employees
Hindustan Unilever,4.3,5.1k,Public,London +438 more,152 years old,10k-50k Employees
ITC,4,5k,Public,Kolkata +302 more,114 years old,10k-50k Employees
IIFL Finance,4,4.9k,Public,Mumbai +672 more,29 years old,10k-50k Employees
JSW Steel,4,4.9k,Public,Mumbai +148 more,42 years old,10k-50k Employees
Ujjivan Small Finance Bank,4.1,4.7k,Public,Bangalore/Bengaluru +443 more,7 years old,10k-50k Employees
Muthoot Finance,3.6,4.6k,Public,Kochi/Cochin +651 more,85 years old,10k-50k Employees
Tata Projects,4.3,4.5k,Public,Mumbai +239 more,45 years old,5k-10k Employees
Aurobindo Pharma,4,4.5k,Public,Hyderabad/Secunderabad +94 more,38 years old,10k-50k Employees
Oracle,3.8,4.5k,Public,Austin +47 more,47 years old,50k-1 Lakh Employees
eClerx,3.5,4.4k,Public,Mumbai +17 more,24 years old,10k-50k Employees
Apollo Hospitals,4.2,4.4k,Public,Chennai +191 more,41 years old,10k-50k Employees
Ashok Leyland,4.1,4.3k,Public,Chennai +219 more,76 years old,5k-10k Employees
Siemens,4.2,4.3k,Public,Munich +128 more,177 years old,5k-10k Employees
First Source,3.8,4.2k,Public,Mumbai +55 more,23 years old,10k-50k Employees
JustDial,3.6,4.2k,Public,Mumbai +182 more,28 years old,10k-50k Employees
Hero MotoCorp,4.2,4.1k,Public,Gurgaon/Gurugram +320 more,40 years old,5k-10k Employees
OPPO,4,4.1k,Public,Dongguan +363 more,20 years old,10k-50k Employees
Mahindra Finance,4.3,4.1k,Public,Mumbai +639 more,33 years old,10k-50k Employees
Coforge,3.5,4k,Public,Noida +87 more,20 years old,10k-50k Employees
Cyient,3.8,4k,Public,Hyderabad/Secunderabad +35 more,33 years old,10k-50k Employees
ICICI Lombard General Insurance Company,3.8,3.9k,Public,Mumbai +264 more,23 years old,10k-50k Employees
TVS Motor,4.1,3.8k,Public,Chennai +283 more,45 years old,5k-10k Employees
Manappuram Finance,4,3.8k,Public,Thrissur/Trichur +515 more,75 years old,10k-50k Employees
Bosch,4.3,3.6k,Public,Gerlingen +103 more,138 years old,5k-10k Employees
Reliance Communications,4,3.6k,Public,Navi Mumbai +430 more,22 years old,201-500 Employees
L&T Technology Services,3.4,3.6k,Public,Vadodara/Baroda +52 more,12 years old,10k-50k Employees
JBM Group,4,3.4k,Public,Gurgaon/Gurugram +87 more,41 years old,1k-5k Employees
Nagarjuna Construction Company,4.2,3.3k,Public,Hyderabad/Secunderabad +228 more,26 years old,5k-10k Employees
Bajaj Auto,3.9,3.3k,Public,Pune +260 more,79 years old,5k-10k Employees
KEC International,4.1,3.3k,Public,Mumbai +266 more,79 years old,5k-10k Employees
L&T Finance,4,3.1k,Public,Mumbai +481 more,30 years old,10k-50k Employees
Tata Communications,4.2,3.1k,Public,Mumbai +91 more,38 years old,5k-10k Employees
Samvardhana Motherson Group,3.8,3.1k,Public,Noida +81 more,38 years old,1k-5k Employees
LG Electronics,4.1,3.1k,Public,Seoul +251 more,66 years old,1k-5k Employees
Varun Beverages,4.1,3.1k,Public,Gurgaon/Gurugram +288 more,29 years old,5k-10k Employees
Kogta Financial India Limited,4.8,3k,Public,Jaipur +206 more,28 years old,1k-5k Employees
Persistent Systems,3.8,3.1k,Public,Pune +33 more,34 years old,10k-50k Employees
Thermax Limited,4.2,3k,Public,Pune +183 more,58 years old,1k-5k Employees
Macleods Pharmaceuticals,3.8,2.9k,Public,Mumbai +100 more,38 years old,10k-50k Employees
Havells,4.1,2.9k,Public,Noida +182 more,41 years old,5k-10k Employees
Team Lease,4,2.9k,Public,Bangalore/Bengaluru +312 more,8 years old,1k-5k Employees
Subros,4,2.9k,Public,Noida +60 more,39 years old,1k-5k Employees
Abbott,4.2,2.9k,Public,Illinois City +173 more,136 years old,10k-50k Employees
Ford Motor,4.5,2.8k,Public,Dearborn +110 more,121 years old,5k-10k Employees
Alembic Pharmaceuticals,4.1,2.8k,Public,Vadodara/Baroda +155 more,117 years old,10k-50k Employees
Pidilite Industries,4.4,2.8k,Public,Mumbai +242 more,65 years old,5k-10k Employees
Hindalco Industries,4.3,2.7k,Public,Mumbai +87 more,66 years old,10k-50k Employees
Alkem Laboratories,4,2.7k,Public,Mumbai +167 more,51 years old,10k-50k Employees
Utkarsh Small Finance Bank,3.9,2.7k,Public,Varanasi +305 more,15 years old,10k-50k Employees
Berger Paints,3.8,2.6k,Public,Kolkata +260 more,101 years old,1k-5k Employees
Glenmark Pharmaceuticals,4,2.6k,Public,Mumbai +142 more,47 years old,10k-50k Employees
Ipca Laboratories,4,2.6k,Public,Mumbai +130 more,75 years old,10k-50k Employees
Aarti Industries,4.2,2.6k,Public,Mumbai +43 more,49 years old,5k-10k Employees
ABB Group,4.1,2.6k,Public,Zurich +99 more,36 years old,1k-5k Employees
Johnson Controls,3.7,2.5k,Public,Cork +48 more,139 years old,5k-10k Employees
HDFC Ergo General Insurance,4.1,2.5k,Public,Mumbai +235 more,22 years old,10k-50k Employees
